"Action","Hành động"
"<a href=\"%s\">Register here</a>!","<a href=\"%s\">Đăng ký ở đây</a>!"
"Approve","Chấp nhận"
"Approved","Đã chấp nhận"
"Are you sure?","Bạn có chắc chắn?"
"Can not create post.","Không thể viết bài."
"Change status","Đổi trạng thái"
"Comment","Nhận xét"
"Comment Information","Chi tiết nhận xét"
"Comment is not exists.","Nhận xét không tồn tại."
"Comments","Nhận xét"
"Comment was not approved (%s).","Nhận xét không được chấp nhận (%s)."
"Comment was not deleted (%s).","Nhận xét không bị xóa (%s)."
"Comment was not rejected (%s).","Nhận xét không bị từ trối (%s)."
"Comment was successfully approved.","Nhận xét được chấp nhận thành công."
"Comment was successfully deleted.","Nhận xét đã được xóa thành công."
"Comment was successfully rejected.","Nhận xét đã được từ chối thành công."
"Comment was successfully saved.","Nhận xét đã được ghi lại thành công."
"Created At","Tạo lúc"
"Customer","Khách hàng"
"Delete Comment","Xóa nhận xét"
"Delete","Xóa"
"Don't have an account?","Chưa có tài khoản?"
"Edit Comment of '%s'","Sửa nhận xét của '%s'"
"Email","Email"
"Enter your comment here...","Nhập nhận xét ở đây..."
"Enter your reply here...","Nhập trả lời ở đây..."
"Error while saving the comment (%s).","Lỗi ghi nhận xét (%s)."
"General","General"
"Guestbook","Guestbook"
"Guest Book","Guest Book"
"Home","Home"
"ID","ID"
"Leave a Comment","Để lại một nhận xét"
"Leave a Reply","Trả lời nhận xét"
"Name","Tên"
"Newer Entries","Nhận xét mới hơn"
"(Not published)","(Chưa đăng)"
"Older Entries","Nhận xét cũ hơn"
"Pending","Treo"
"Please <a href=\"%s\">login</a> to comment.","Xin vui lòng <a href=\"%s\">đăng nhập</a> để nhận xét."
"Please <a href=\"%s\">login</a> to reply.","Xin vui lòng <a href=\"%s\">đăng nhập</a> để trả lời."
"Posted from","Gửi từ"
"Rejected","Đã bị từ chối"
"Reject","Từ chối"
"Reply","Trả lời"
"Reply To","Trả lời cho"
"(required)","(bắt buộc)"
"%s at %s","%s lúc %s"
"Save And Continue Edit","Lưu và tiếp tục sửa"
"Save Comment","Lưu nhận xét"
"%s comments","%s nhận xét"
"%s comments successfully deleted.","%s nhận xét bị xóa thành công."
"%s comments successfully updated.","%s nhận xét cập nhật thành công."
"%s comments was not deleted.","%s nhận xét đã bị xóa."
"%s comments was not updated.","%s nhận xét chưa được cập nhật."
"Status","Trạng thái"
"Store View","Xem theo cửa hàng"
"Subject","Chủ đề"
"Submit","Gửi đi"
"There are no comments.","Chưa có nhận xét nào."
"This post will become public after administrator approval.","Nhận xét sẽ được hiển thị lên trang web sau khi kiểm duyệt."
"Updated At","Cập nhật lúc"
"View","Xem"
"Your session is expired. Please refresh this page and try again.","Phiên làm việc của bạn đã hết, xin vui lòng refresh và thử lại."